date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-04-20,8550.0,8550.0,36346.131400564205,2858.4343820694994,39204.565782633705,61353.542608,609.4761156666663,13,20204.675601000003,16365.787292099998,6166.385531433336,0.1578845000040019
2025-04-21,8550.0,8550.0,35975.98745775,981.675595039997,36957.66305279,60858.27474,325.4841933333326,13,20126.9665786,16302.8429792,8842.724950599999,0.13492210000549676
2025-04-22,8550.0,8550.0,36025.4165783992,2018.6629308051142,38044.07950920431,60541.923458000005,602.5192515666661,15,19912.0854259,16128.789259000001,5208.217226000001,0.13442120000399882
2025-04-23,8550.0,8550.0,36100.3061314934,806.8026423516627,36907.108773845066,60931.208186,252.46055333333237,15,19924.010079,16138.448207,5998.190150666667,0.19506749999709427
2025-04-24,8550.0,2715.9142,33003.7340891188,587.9732578283292,33591.70734694713,53779.561247,130.46170333333248,10,13414.890446,16116.73848,9521.764284333336,0.14201480000338051
2025-04-25,2715.9142,2601.0114,13249.3459045807,619.3489096250005,13868.6948142057,26853.647403000003,165.69725333333338,9,13005.02962,10637.486488999999,22651.44387533333,0.1372648999968078
2025-04-26,2601.0114,8550.0,16061.5546446592,1623.1033690639993,17684.658013723198,33532.4577,388.65630999999973,12,19582.352779999997,10507.616046,24776.183642666663,0.15064499999425607
2025-04-27,8550.0,8550.0,33886.5218265797,4507.838048645664,38394.35987522537,57324.931593,1071.8913853333322,13,19748.2473631,15996.080383999999,6071.184815900003,0.134706400000141
2025-04-28,8550.0,8550.0,33754.6817906586,20835.967609320003,54590.6493999786,56925.14073,5423.613628666666,11,19615.912492000003,15888.889149999999,1999.7637000000032,0.11223749999771826
2025-04-29,8550.0,8550.0,34633.187645424,2346.598856156729,36979.786501580726,58396.17363,578.6243022999992,4,19487.436004,15784.8232228,7838.971434433335,0.19085729999642354
2025-04-30,8550.0,8550.0,34453.1837261067,3108.7678717731665,37561.951597879866,58027.758462,885.7840996666666,11,19382.56933895,15699.881171,6973.999960383337,0.1592942999996012
